Variable,GX DataType,Device,Type,Elements,Type Size,Bit Place,Position,,,
Name,String(19),D9000,String,1,10,,0,,,
Tool_TipAttackAngle,FLOAT (Single Precision)(0..4),D9010,Float,5,2,,10,,,
Tool_Angle,FLOAT (Single Precision)(0..5),D9020,Float,6,2,,20,,,
Tool_Diameter,FLOAT (Single Precision)(0..5),D9032,Float,6,2,,32,,,
Tool_Offset,FLOAT (Single Precision)(0..5),D9044,Float,6,2,,44,,,
Tool_TipRadius,FLOAT (Single Precision),D9056,Float,1,2,,56,,,
ZPlace3,Word[Signed](0..1),D9058,Word,2,1,,58,,,
ZPlace4,Word[Signed],D9060,Word,1,1,,60,,,
Tool_TipFluteCycles,Word[Signed],D9061,Word,1,1,,61,,,
Tool_FluteCount,Word[Signed],D9062,Word,1,1,,62,,,
Tool_Type,Word[Signed],D9063,Word,1,1,,63,,,
Tool_FluteHelixAngle,FLOAT (Single Precision),D9064,Float,1,2,,64,,,
Tool_FluteLength,FLOAT (Single Precision),D9066,Float,1,2,,66,,,
WheelPackID,Word[Signed],D9068,Word,1,1,,68,,,
PalletID,Word[Signed],D9069,Word,1,1,,69,,,
UnitType,Word[Signed],D9070,Word,1,1,,70,,, 
FluteDetectEnabled,Bit,D9071,Bit,1,1,0,71,,,
TipProcessDisabled,Bit,D9071,Bit,1,1,1,71,,,
AngleProcessDisabled,Bit,D9071,Bit,1,1,2,71,,,
ODProcessDisabled,Bit,D9071,Bit,1,1,3,71,,,
PolishProcessDisabled,Bit,D9071,Bit,1,1,4,71,,,
CustomProcessDisabled,Bit,D9071,Bit,1,1,5,71,,,
FluteDetectTipOffset,FLOAT (Single Precision),D9072,Float,1,2,,72,,,
FluteDetectAngleOffset,FLOAT (Single Precision),D9074,Float,1,2,,74,,,
Tool_ChiselAngle,FLOAT (Single Precision),D9076,Float,1,2,,76,,,
ZPlace8,Word[Signed](0..1),D9078,Word,2,1,,78,,,
Tip_SweepOffsetStart,FLOAT (Single Precision)(0..4),D9080,Float,5,2,,80,,,
Tip_SweepOffsetEnd,FLOAT (Single Precision)(0..4),D9090,Float,5,2,,90,,,
Tip_Mode,Word[Signed](0..4),D9100,Word,5,1,,100,,,
Tip_SpindleRPM,FLOAT (Single Precision)(0..4),D9105,Float,5,2,,105,,,
Tip_SpindleDIR,Word[Signed](0..4),D9115,Word,5,1,,115,,,
Tip_Dwell,Word[Signed](0..4),D9120,Word,5,1,,120,,,
Tip_BrushID,Word[Signed](0..4),D9125,Word,5,1,,125,,,
Tip_BrushDIR,Word[Signed](0..4),D9130,Word,5,1,,130,,,
Tip_BrushRPM,Word[Signed](0..4),D9135,Word,5,1,,135,,,
Tip_SweepCycles,Word[Signed](0..4),D9140,Word,5,1,,140,,,
ZPlace9,Word[Signed],D9145,Word,1,1,,145,,,
Tip_Engagement,FLOAT (Single Precision)(0..4),D9146,Float,5,2,,146,,,
Tip_BrushAngle,FLOAT (Single Precision)(0..4),D9156,Float,5,2,,156,,,
Tip_SweepSpeed,FLOAT (Single Precision)(0..4),D9166,Float,5,2,,166,,,
Tip_BrushSaverOffset,FLOAT (Single Precision),D9176,Float,1,2,,176,,,
ZPlace11,Word[Signed](0..1),D9178,Word,2,1,,178,,,
Angle_Mode,Word[Signed],D9180,Word,1,1,,180,,,
Angle_SpindleRPM,FLOAT (Single Precision),D9181,Float,1,2,,181,,,
Angle_SpindleDIR,Word[Signed],D9183,Word,1,1,,183,,,
Angle_Dwell,Word[Signed],D9184,Word,1,1,,184,,,
Angle_BrushID,Word[Signed],D9185,Word,1,1,,185,,,
Angle_BrushDIR,Word[Signed],D9186,Word,1,1,,186,,,
Angle_BrushRPM,Word[Signed],D9187,Word,1,1,,187,,,
