Variable,GX DataType,Device,Type,Elements,Type Size,Bit Place
Name,String(19),9000,String,1,10,
Tool_TipAttackAngle,FLOAT (Single Precision)(0..4),9010,Float,5,2,
Tool_Angle,FLOAT (Single Precision)(0..5),9020,Float,6,2,
Tool_Diameter,FLOAT (Single Precision)(0..5),9032,Float,6,2,
Tool_Offset,FLOAT (Single Precision)(0..5),9044,Float,6,2,
Tool_TipRadius,FLOAT (Single Precision),9056,Float,1,2,
ZPlace3,Word[Signed](0..1),9058,Word,2,1,
ZPlace4,Word[Signed],9060,Word,1,1,
Tool_TipFluteCycles,Word[Signed],9061,Word,1,1,
Tool_FluteCount,Word[Signed],9062,Word,1,1,
Tool_Type,Word[Signed],9063,Word,1,1,
Tool_FluteHelixAngle,FLOAT (Single Precision),9064,Float,1,2,
Tool_FluteLength,FLOAT (Single Precision),9066,Float,1,2,
WheelPackID,Word[Signed],9068,Word,1,1,
PalletID,Word[Signed],9069,Word,1,1,
UnitType,Word[Signed],9070,Word,1,1,
FluteDetectEnabled,Bit,9071,Bit,1,1,0
TipProcessDisabled,Bit,9071,Bit,1,1,1
AngleProcessDisabled,Bit,9071,Bit,1,1,2
ODProcessDisabled,Bit,9071,Bit,1,1,3
PolishProcessDisabled,Bit,9071,Bit,1,1,4
CustomProcessDisabled,Bit,9071,Bit,1,1,5
FluteDetectTipOffset,FLOAT (Single Precision),9072,Float,1,2,
FluteDetectAngleOffset,FLOAT (Single Precision),9074,Float,1,2,
Tool_ChiselAngle,FLOAT (Single Precision),9076,Float,1,2,
ZPlace8,Word[Signed](0..1),9078,Word,2,1,
Tip_SweepOffsetStart,FLOAT (Single Precision)(0..4),9080,Float,5,2,
Tip_SweepOffsetEnd,FLOAT (Single Precision)(0..4),9090,Float,5,2,
Tip_Mode,Word[Signed](0..4),9100,Word,5,1,
Tip_SpindleRPM,FLOAT (Single Precision)(0..4),9105,Float,5,2,
Tip_SpindleDIR,Word[Signed](0..4),9115,Word,5,1,
Tip_Dwell,Word[Signed](0..4),9120,Word,5,1,
Tip_BrushID,Word[Signed](0..4),9125,Word,5,1,
Tip_BrushDIR,Word[Signed](0..4),9130,Word,5,1,
Tip_BrushRPM,Word[Signed](0..4),9135,Word,5,1,
Tip_SweepCycles,Word[Signed](0..4),9140,Word,5,1,
ZPlace9,Word[Signed],9145,Word,1,1,
Tip_Engagement,FLOAT (Single Precision)(0..4),9146,Float,5,2,
Tip_BrushAngle,FLOAT (Single Precision)(0..4),9156,Float,5,2,
Tip_SweepSpeed,FLOAT (Single Precision)(0..4),9166,Float,5,2,
Tip_BrushSaverOffset,FLOAT (Single Precision),9176,Float,1,2,
ZPlace11,Word[Signed](0..1),9178,Word,2,1,
Angle_Mode,Word[Signed],9180,Word,1,1,
Angle_SpindleRPM,FLOAT (Single Precision),9181,Float,1,2,
Angle_SpindleDIR,Word[Signed],9183,Word,1,1,
Angle_Dwell,Word[Signed],9184,Word,1,1,
Angle_BrushID,Word[Signed],9185,Word,1,1,
Angle_BrushDIR,Word[Signed],9186,Word,1,1,
Angle_BrushRPM,Word[Signed],9187,Word,1,1,
ZPlace20,Word[Signed](0..1),9188,Word,2,1,
Angle_Engagement,FLOAT (Single Precision),9190,Float,1,2,
Tip_Cycles,Word[Signed](0..4),9192,Word,5,1,
Tip_ChiselMode,Word[Signed](0..4),9197,Word,5,1,
Tool_ShankDiameter,FLOAT (Single Precision),9202,Float,1,2,
Tool_PalletZOffset,FLOAT (Single Precision),9204,Float,1,2,
Tool_ChuckXOffset,FLOAT (Single Precision),9206,Float,1,2,
ZPlace21,Word[Signed](0..1),9208,Word,2,1,
OD_Mode,Word[Signed],9210,Word,1,1,
OD_SpindleRPM,FLOAT (Single Precision),9211,Float,1,2,
OD_SpindleDIR,Word[Signed],9213,Word,1,1,
OD_Dwell,Word[Signed],9214,Word,1,1,
OD_BrushID,Word[Signed],9215,Word,1,1,
OD_BrushDIR,Word[Signed],9216,Word,1,1,
OD_BrushRPM,Word[Signed],9217,Word,1,1,
OD_Cycles,Word[Signed],9218,Word,1,1,
ZPlace30,Word[Signed](0..2),9219,Word,3,1,
OD_Engagement,FLOAT (Single Precision),9222,Float,1,2,
OD_CycleSpeed,FLOAT (Single Precision),9224,Float,1,2,
OD_BrushAngle,FLOAT (Single Precision),9226,Float,1,2,
OD_Overrun,FLOAT (Single Precision),9228,Float,1,2,
OD_TaperAngle,FLOAT (Single Precision),9230,Float,1,2,
Custom_Arrangement_Bit,Bit,9232,Bit,1,1,0
Custom_Arrangement_Index,Word[Signed](0..5),9233,Word,6,1,
ZPlace31,Word[Signed],9239,Word,1,1,
Custom_RetractDist,FLOAT (Single Precision)(0..4),9240,Float,5,2,
Polish_Mode,Word[Signed],9250,Word,1,1,
Polish_SpindleRPM,FLOAT (Single Precision),9251,Float,1,2,
Polish_SpindleDIR,Word[Signed],9253,Word,1,1,
Polish_ShuttleDwell,Word[Signed],9254,Word,1,1,
Polish_BrushID,Word[Signed],9255,Word,1,1,
Polish_BrushDIR,Word[Signed],9256,Word,1,1,
Polish_BrushRPM,Word[Signed],9257,Word,1,1,
Polish_Cycles,Word[Signed],9258,Word,1,1,
Polish_OscillateDwell,Word[Signed],9259,Word,1,1,
ZPlace40,Word[Signed](0..1),9260,Word,2,1,
Polish_Engagement,FLOAT (Single Precision),9262,Float,1,2,
Polish_ShuttleSpeed,FLOAT (Single Precision),9264,Float,1,2,
Polish_BrushOscStart,FLOAT (Single Precision),9266,Float,1,2,
Polish_BrushOscEnd,FLOAT (Single Precision),9268,Float,1,2,
Polish_BrushOscSpeed,FLOAT (Single Precision),9270,Float,1,2,
Polish_Length,FLOAT (Single Precision),9272,Float,1,2,
Polish_SpindleStartAngle,FLOAT (Single Precision),9274,Float,1,2,
Polish_BrushYOffset,FLOAT (Single Precision),9276,Float,1,2,
Polish_BrushAngleOffset,FLOAT (Single Precision),9278,Float,1,1,
ZPlace41,Word[Signed](0..5),9280,Word,6,1,
SKA_Min,FLOAT (Single Precision),9286,Float,1,2,
SKA_Max,FLOAT (Single Precision),9288,Float,1,2,
SKI_Min,FLOAT (Single Precision),9290,Float,1,2,
SKI_Max,FLOAT (Single Precision),9292,Float,1,2,
SKQ_Min,FLOAT (Single Precision),9294,Float,1,2,
SKQ_Max,FLOAT (Single Precision),9296,Float,1,2,
ZPlace42,Word[Signed](0..1),9298,Word,2,1,
Custom_Mode,Word[Signed](0..4),9300,Word,5,1,
