Variable,GX DataType,Device,Type,Elements,Type Size,Bit Place
Name,String(19),D9000,String,1,10,
Tool_TipAttackAngle,FLOAT (Single Precision)(0..4),D9010,Float,5,2,
Tool_Angle,FLOAT (Single Precision)(0..5),D9020,Float,6,2,
Tool_Diameter,FLOAT (Single Precision)(0..5),D9032,Float,6,2,
Tool_Offset,FLOAT (Single Precision)(0..5),D9044,Float,6,2,
Tool_TipRadius,FLOAT (Single Precision),D9056,Float,1,2,
ZPlace3,Word[Signed](0..1),D9058,Word,2,1,
ZPlace4,Word[Signed],D9060,Word,1,1,
Tool_TipFluteCycles,Word[Signed],D9061,Word,1,1,
Tool_FluteCount,Word[Signed],D9062,Word,1,1,
Tool_Type,Word[Signed],D9063,Word,1,1,
Tool_FluteHelixAngle,FLOAT (Single Precision),D9064,Float,1,2,
Tool_FluteLength,FLOAT (Single Precision),D9066,Float,1,2,
WheelPackID,Word[Signed],D9068,Word,1,1,
PalletID,Word[Signed],D9069,Word,1,1,
UnitType,Word[Signed],D9070,Word,1,1,
FluteDetectEnabled,Bit,D9071,Bit,1,1,0
TipProcessDisabled,Bit,D9071,Bit,1,1,1
AngleProcessDisabled,Bit,D9071,Bit,1,1,2
ODProcessDisabled,Bit,D9071,Bit,1,1,3
PolishProcessDisabled,Bit,D9071,Bit,1,1,4
CustomProcessDisabled,Bit,D9071,Bit,1,1,5
FluteDetectTipOffset,FLOAT (Single Precision),D9072,Float,1,2,
FluteDetectAngleOffset,FLOAT (Single Precision),D9074,Float,1,2,
Tool_ChiselAngle,FLOAT (Single Precision),D9076,Float,1,2,
ZPlace8,Word[Signed](0..1),D9078,Word,2,1,
Tip_SweepOffsetStart,FLOAT (Single Precision)(0..4),D9080,Float,5,2,
Tip_SweepOffsetEnd,FLOAT (Single Precision)(0..4),D9090,Float,5,2,
Tip_Mode,Word[Signed](0..4),D9100,Word,5,1,
Tip_SpindleRPM,FLOAT (Single Precision)(0..4),D9105,Float,5,2,
Tip_SpindleDIR,Word[Signed](0..4),D9115,Word,5,1,
Tip_Dwell,Word[Signed](0..4),D9120,Word,5,1,
Tip_BrushID,Word[Signed](0..4),D9125,Word,5,1,
Tip_BrushDIR,Word[Signed](0..4),D9130,Word,5,1,
Tip_BrushRPM,Word[Signed](0..4),D9135,Word,5,1,
Tip_SweepCycles,Word[Signed](0..4),D9140,Word,5,1,
ZPlace9,Word[Signed],D9145,Word,1,1,
Tip_Engagement,FLOAT (Single Precision)(0..4),D9146,Float,5,2,
Tip_BrushAngle,FLOAT (Single Precision)(0..4),D9156,Float,5,2,
Tip_SweepSpeed,FLOAT (Single Precision)(0..4),D9166,Float,5,2,
Tip_BrushSaverOffset,FLOAT (Single Precision),D9176,Float,1,2,
ZPlace11,Word[Signed](0..1),D9178,Word,2,1,
Angle_Mode,Word[Signed],D9180,Word,1,1,
